date,feature_index,NO2,NO2_Clean_Numeric,NO2_Final_Imputed
2025-09-01T00:00:00.000Z,0,[2.7529809813131575e-05],2.752980981313157e-05,2.752980981313157e-05
2025-09-02T00:00:00.000Z,0,[9.187862815451808e-06],9.187862815451808e-06,9.187862815451808e-06
2025-09-03T00:00:00.000Z,0,[3.193606244167313e-05],3.193606244167313e-05,3.193606244167313e-05
2025-09-04T00:00:00.000Z,0,[3.154942533001304e-05],3.154942533001304e-05,3.154942533001304e-05
2025-09-05T00:00:00.000Z,0,[3.1157745979726315e-05],3.1157745979726315e-05,3.1157745979726315e-05
2025-09-06T00:00:00.000Z,0,[3.171267599100247e-05],3.171267599100247e-05,3.171267599100247e-05
2025-09-07T00:00:00.000Z,0,[5.1264876674395055e-05],5.1264876674395055e-05,5.1264876674395055e-05
2025-09-08T00:00:00.000Z,0,[None],,4.6448187276837416e-05
2025-09-09T00:00:00.000Z,0,[4.163149787927978e-05],4.163149787927978e-05,4.163149787927978e-05
2025-09-10T00:00:00.000Z,0,[2.444124947942328e-05],2.444124947942328e-05,2.444124947942328e-05
2025-09-11T00:00:00.000Z,0,[3.271933746873401e-05],3.271933746873401e-05,3.271933746873401e-05
2025-09-12T00:00:00.000Z,0,[3.7163332308409736e-05],3.7163332308409736e-05,3.7163332308409736e-05
2025-09-13T00:00:00.000Z,0,[2.90452444460243e-05],2.90452444460243e-05,2.90452444460243e-05
2025-09-14T00:00:00.000Z,0,[4.508103666012176e-05],4.508103666012176e-05,4.508103666012176e-05
2025-09-15T00:00:00.000Z,0,[3.373396612005308e-05],3.373396612005308e-05,3.373396612005308e-05
2025-09-16T00:00:00.000Z,0,[2.538265653129201e-05],2.538265653129201e-05,2.538265653129201e-05
2025-09-17T00:00:00.000Z,0,[None],,2.072521814019031e-05
2025-09-18T00:00:00.000Z,0,[None],,1.6067779749088608e-05
2025-09-19T00:00:00.000Z,0,[1.1410341357986908e-05],1.1410341357986908e-05,1.1410341357986908e-05
2025-09-20T00:00:00.000Z,0,[3.512258263071999e-05],3.512258263071999e-05,3.512258263071999e-05
2025-09-21T00:00:00.000Z,0,[1.905442331917584e-05],1.905442331917584e-05,1.905442331917584e-05
2025-09-22T00:00:00.000Z,0,[4.287491174181923e-05],4.287491174181923e-05,4.287491174181923e-05
2025-09-23T00:00:00.000Z,0,[7.149704470066354e-05],7.149704470066354e-05,7.149704470066354e-05
2025-09-24T00:00:00.000Z,0,[6.481714808614925e-05],6.481714808614925e-05,6.481714808614925e-05
2025-09-25T00:00:00.000Z,0,[3.19643659167923e-05],3.19643659167923e-05,3.19643659167923e-05
2025-09-26T00:00:00.000Z,0,[3.336637746542692e-05],3.336637746542692e-05,3.336637746542692e-05
2025-09-27T00:00:00.000Z,0,[2.8528442271635868e-05],2.8528442271635868e-05,2.8528442271635868e-05
2025-09-28T00:00:00.000Z,0,[6.298369044088759e-06],6.298369044088759e-06,6.298369044088759e-06
2025-09-29T00:00:00.000Z,0,[3.1201539968606085e-05],3.1201539968606085e-05,3.1201539968606085e-05
2025-09-30T00:00:00.000Z,0,[None],,3.109000560167866e-05
2025-10-01T00:00:00.000Z,0,[None],,3.097847123475125e-05
2025-10-02T00:00:00.000Z,0,[3.0866936867823824e-05],3.0866936867823824e-05,3.0866936867823824e-05
2025-10-03T00:00:00.000Z,0,[8.397432247875258e-05],,3.480921805021353e-05
2025-10-04T00:00:00.000Z,0,[3.875149923260324e-05],3.875149923260324e-05,3.875149923260324e-05
2025-10-05T00:00:00.000Z,0,[1.338419497187715e-05],1.338419497187715e-05,1.338419497187715e-05
2025-10-06T00:00:00.000Z,0,[2.834324186551385e-05],2.834324186551385e-05,2.834324186551385e-05
2025-10-07T00:00:00.000Z,0,[4.1878389311023057e-05],4.1878389311023057e-05,4.1878389311023057e-05
2025-10-08T00:00:00.000Z,0,[None],,4.7491628720308654e-05
2025-10-09T00:00:00.000Z,0,[5.310486812959425e-05],5.310486812959425e-05,5.310486812959425e-05
2025-10-10T00:00:00.000Z,0,[4.121749589103274e-05],4.121749589103274e-05,4.121749589103274e-05
2025-10-11T00:00:00.000Z,0,[2.8751826903317124e-05],2.8751826903317124e-05,2.8751826903317124e-05
